exam|choice
"A network administrator is measuring the transfer of bits across the company backbone for a mission critical financial application. The administrator notices that the network throughput appears lower than the bandwidth expected. Which three factors could influence the differences in throughput? (Choose three.)"|"the amount of traffic that is currently crossing the network","the type of traffic that is crossing the network","the latency that is created by the number of network devices that the data is crossing"
"What are two characteristics of fiber-optic cable? (Choose two.)"|"It is not affected by EMI or RFI.","It is more expensive than UTP cabling is."
"What is a primary role of the Physical layer in transmitting data on the network?"|"create the signals that represent the bits in each frame on to the media"
"With the use of unshielded twisted-pair copper wire in a network, what causes crosstalk within the cable pairs?"|"the magnetic field around the adjacent pairs of wire"
"In addition to the cable length, what two factors could interfere with the communication carried over UTP cables? (Choose two.)"|"crosstalk","electromagnetic interference"
"Which two devices commonly affect wireless networks? (Choose two.)"|"cordless phones","microwaves"
"Which two statements describe the services provided by the data link layer? (Choose two.)"|"It manages the access of frames to the network media.","It packages various Layer 3 PDUs into a frame format that is compatible with the network interface."
"What is the function of the CRC value that is found in the FCS field of a frame?"|"to verify the integrity of the received frame"
"What is contained in the trailer of a data-link frame?"|"error detection"
"Which statement describes a characteristic of the frame header fields of the data link layer?"|"They vary depending on protocols."
"A network team is comparing physical WAN topologies for connecting remote sites to a headquarters building. Which topology provides high availability and connects some, but not all, remote sites?"|"partial mesh"
"Which two fields or features does Ethernet examine to determine if a received frame is passed to the data link layer or discarded by the NIC? (Choose two.)"|"Frame Check Sequence","minimum frame size"
"Which media communication type does not require media arbitration in the data link layer?"|"full-duplex"
"Which statement describes an extended star topology?"|"End devices connect to a central intermediate device, which in turn connects to other central intermediate devices."
"What is a characteristic of the LLC sublayer?"|"It places information in the frame allowing multiple Layer 3 protocols to use the same network interface and media."
"What are three ways that media access control is used in networking? (Choose three.)"|"Ethernet utilizes CSMA/CD.","Media access control provides placement of data frames onto the media.","Data link layer protocols define the rules for access to different media."
"During the encapsulation process, what occurs at the data link layer for a PC connected to an Ethernet network?"|"The physical address is added."
"What three items are contained in an Ethernet header and trailer? (Choose three.)"|"source MAC address","destination MAC address","error-checking information"
"What type of communication rule would best describe CSMA/CD?"|"access method"
"Which three basic parts are common to all frame types supported by the data link layer? (Choose three.)"|"header","data","trailer"
"Which statement is true about the CSMA/CD access method that is used in Ethernet?"|"All network devices must listen before transmitting."
"What is the auto-MDIX feature on a switch?"|"the automatic configuration of an interface for a straight-through or a crossover Ethernet cable connection"
"A Layer 2 switch is used to switch incoming frames from a 1000BASE-T port to a port connected to a 100Base-T network. Which method of memory buffering would work best for this task?"|"shared memory buffering"
"What are two examples of the cut-through switching method? (Choose two.)"|"fast-forward switching","fragment-free switching"
"Which frame forwarding method receives the entire frame and performs a CRC check to detect errors before forwarding the frame?"|"store-and-forward switching"
"What is the purpose of the FCS field in a frame?"|"to determine if errors occurred in the transmission and reception"
"Which switching method has the lowest level of latency?"|"fast-forward"
"A network administrator is connecting two modern switches using a straight-through cable. The switches are new and have never been configured. Which three statements are correct about the final result of the connection? (Choose three.)"|"The link between the switches will work at the fastest speed that is supported by both switches.","The link between switches will work as full-duplex.","The auto-MDIX feature will configure the interfaces eliminating the need for a crossover cable."
"Which advantage does the store-and-forward switching method have compared with the cut-through switching method?"|"frame error checking"
"When the store-and-forward method of switching is in use, what part of the Ethernet frame is used to perform an error check?"|"CRC in the trailer"
"Which switching method uses the CRC value in a frame?"|"store-and-forward"
"What are two actions performed by a Cisco switch? (Choose two.)"|"using the source MAC addresses of frames to build and maintain a MAC address table","utilizing the MAC address table to forward frames via the destination MAC address"
"Which two statements describe features or functions of the logical link control sublayer in Ethernet standards? (Choose two.)"|"Logical link control is implemented in software.","The data link layer uses LLC to communicate with the upper layers of the protocol suite."
"What is the auto-MDIX feature?"|"It enables a device to automatically configure an interface to use a straight-through or a crossover cable."
"What is one advantage of using the cut-through switching method instead of the store-and-forward switching method?"|"has a lower latency appropriate for high-performance computing applications"
"Which is a multicast MAC address?"|"01-00-5E-00-00-03"
"What does the term “attenuation” mean in data communication?"|"loss of signal strength as distance increases"
"What makes fiber preferable to copper cabling for interconnecting buildings? (Choose three.)"|"greater distances per cable run","limited susceptibility to EMI/RFI","greater bandwidth potential"
"What OSI physical layer term describes the process by which one wave modifies another wave?"|"modulation"
"What OSI physical layer term describes the capacity at which a medium can carry data?"|"bandwidth"
"What OSI physical layer term describes the capacity at which a medium can carry data?"|"bandwidth"
"What OSI physical layer term describes the measure of the transfer of bits across a medium over a given period of time?"|"throughput"
"What OSI physical layer term describes the amount of time, including delays, for data to travel from one point to another?"|"latency"
"What OSI physical layer term describes the amount of time, including delays, for data to travel from one point to another?"|"latency"
"What OSI physical layer term describes the measure of usable data transferred over a given period of time?"|"goodput"
"What OSI physical layer term describes the physical medium which uses electrical pulses?"|"copper cable"
"What OSI physical layer term describes the physical medium that uses the propagation of light?"|"fiber-optic cable"
"What OSI physical layer term describes the physical medium for microwave transmissions?"|"air"
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Implements a trailer to detect transmission errors.","Controls the NIC responsible for sending and receiving data on the physical medium."
"Which two functions are performed at the LLC sublayer of the OSI data link layer? (Choose two.)"|"Enables IPv4 and IPv6 to utilize the same network interface and media.","Places information in the frame that identifies which network layer protocol is being used for the frame."
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Provides a mechanism to allow multiple devices to communicate over a shared medium.","Controls the NIC responsible for sending and receiving data on the physical medium."
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Controls the NIC responsible for sending and receiving data on the physical medium.","Integrates various physical technologies."
"Which two functions are performed at the LLC sublayer of the OSI data link layer? (Choose two.)"|"Adds Layer 2 control information to network protocol data.","Places information in the frame that identifies which network layer protocol is being used for the frame."
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Provides synchronization between source and target nodes.","Integrates various physical technologies."
"Which two functions are performed at the LLC sublayer of the OSI data link layer? (Choose two.)"|"Adds Layer 2 control information to network protocol data.","Enables IPv4 and IPv6 to utilize the same network interface and media."
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Implements a trailer to detect transmission errors.","Provides synchronization between source and target nodes."
"Which two functions are performed at the LLC sublayer of the OSI data link layer? (Choose two.)"|"Enables IPv4 and IPv6 to utilize the same network interface and media.","Adds Layer 2 control information to network protocol data."
"Which two functions are performed at the MAC sublayer of the OSI data link layer? (Choose two.)"|"Provides a mechanism to allow multiple devices to communicate over a shared medium.","Controls the NIC responsible for sending and receiving data on the physical medium."
"What action will occur if a switch receives a frame and does have the source MAC address in the MAC table?"|"The switch refreshes the timer on that entry."
"What action will occur if a switch receives a frame with the destination MAC address FF:FF:FF:FF:FF:FF?"|"The switch forwards it out all ports except the ingress port."
"What action will occur if a host receives a frame with a destination MAC address it does not recognize?"|"The host will discard the frame."
"What action will occur if a switch receives a frame with the destination MAC address 01:00:5E:00:00:D9?"|"The switch forwards it out all ports except the ingress port."
"What action will occur if a host receives a frame with a destination MAC address of FF:FF:FF:FF:FF:FF?"|"The host will process the frame."
"What action will occur if a switch receives a frame and does have the source MAC address in the MAC table?"|"The switch refreshes the timer on that entry."
"What action will occur if a host receives a frame with a destination MAC address of FF:FF:FF:FF:FF:FF?"|"The host will process the frame."
"What action will occur if a switch receives a frame and does have the source MAC address in the MAC table?"|"The switch refreshes the timer on that entry."
"What action will occur if a host receives a frame with a destination MAC address it does not recognize?"|"The host will discard the frame."
"What action will occur if a switch receives a frame with the destination MAC address FF:FF:FF:FF:FF:FF?"|"The switch forwards it out all ports except the ingress port."
"Which information is used by routers to forward a data packet toward its destination?"|"destination IP address"
"A computer has to send a packet to a destination host in the same LAN. How will the packet be sent?"|"The packet will be sent directly to the destination host."
"A router receives a packet from the Gigabit 0/0 interface and determines that the packet needs to be forwarded out the Gigabit 0/1 interface. What will the router do next?"|"create a new Layer 2 Ethernet frame to be sent to the destination"
"Which IPv4 address can a host use to ping the loopback interface?"|"127.0.0.1"
"A computer can access devices on the same network but cannot access devices on other networks. What is the probable cause of this problem?"|"The computer has an invalid default gateway address."
"Which statement describes a feature of the IP protocol?"|"IP relies on upper layer services to handle situations of missing or out-of-order packets."
"Why is NAT not needed in IPv6?"|"Any host or user can get a public IPv6 network address because the number of available IPv6 addresses is extremely large."
"Which parameter does the router use to choose the path to the destination when there are multiple routes available?"|"the lower metric value that is associated with the destination network"
"What are two services provided by the OSI network layer? (Choose two.)"|"routing packets toward the destination","encapsulating PDUs from the transport layer"
"Within a production network, what is the purpose of configuring a switch with a default gateway address?"|"The default gateway address is used to forward packets originating from the switch to remote networks."
"What is a basic characteristic of the IP protocol?"|"connectionless"
"Which field in the IPv4 header is used to prevent a packet from traversing a network endlessly?"|"Time-to-Live"
"What is one advantage that the IPv6 simplified header offers over IPv4?"|"efficient packet handling"
"What IPv4 header field identifies the upper layer protocol carried in the packet?"|"Protocol"
"What information does the loopback test provide?"|"The TCP/IP stack on the device is working correctly."
"What routing table entry has a next hop address associated with a destination network?"|"remote routes"
"How do hosts ensure that their packets are directed to the correct network destination?"|"They have to keep their own local routing table that contains a route to the loopback interface, a local network route, and a remote default route."
"When transporting data from real-time applications, such as streaming audio and video, which field in the IPv6 header can be used to inform the routers and switches to maintain the same path for the packets in the same conversation?"|"Flow Label"
"What statement describes the function of the Address Resolution Protocol?"|"ARP is used to discover the MAC address of any host on the local network."
"Under which two circumstances will a switch flood a frame out of every port except the port that the frame was received on? (Choose two.)"|"The frame has the broadcast address as the destination address.","The destination address is unknown to the switch."
"Which statement describes the treatment of ARP requests on the local link?"|"They are received and processed by every device on the local network."
"Which destination address is used in an ARP request frame?"|"FFFF.FFFF.FFFF"
"A network technician issues the arp -d * command on a PC after the router that is connected to the LAN is reconfigured. What is the result after this command is issued?"|"The ARP cache is cleared."
"Which two types of IPv6 messages are used in place of ARP for address resolution?"|"neighbor solicitation","neighbor advertisement"
"What is the aim of an ARP spoofing attack?"|"to associate IP addresses to the wrong MAC address"
"Where are IPv4 address to Layer 2 Ethernet address mappings maintained on a host computer?"|"ARP cache"
"What important information is examined in the Ethernet frame header by a Layer 2 device in order to forward the data onward?"|"destination MAC address"
"A new network administrator has been asked to enter a banner message on a Cisco device. What is the fastest way a network administrator could test whether the banner is properly configured?"|"Exit privileged EXEC mode and press Enter."
"What are two functions of NVRAM? (Choose two.)"|"to retain contents when power is removed","to store the startup configuration file"
"A router boots and enters setup mode. What is the reason for this?"|"The configuration file is missing from NVRAM."
"The global configuration command ip default-gateway 172.16.100.1 is applied to a switch. What is the effect of this command?"|"The switch can be remotely managed from a host on another network."
"What happens when the transport input ssh command is entered on the switch vty lines?"|"Communication between the switch and remote users is encrypted."
"Which three commands are used to set up secure access to a router through a connection to the console interface? (Choose three.)"|"line console 0","login","password cisco"
"Which two functions are primary functions of a router? (Choose two.)"|"packet forwarding","path selection"
"What is the effect of using the Router# copy running-config startup-config command on a router?"|"The contents of NVRAM will change."
"What will happen if the default gateway address is incorrectly configured on a host?"|"The host cannot communicate with hosts in other networks."
"What are two potential network problems that can result from ARP operation? (Choose two.)"|"On large networks with low bandwidth, multiple ARP broadcasts could cause data communication delays.","Network attackers could manipulate MAC address and IP address mappings in ARP messages with the intent of intercepting network traffic."
"Which term describes a field in the IPv4 packet header used to identify the next level protocol?"|"protocol"
"Which term describes a field in the IPv4 packet header that contains an 8-bit binary value used to determine the priority of each packet?"|"differentiated services"
"Which term describes a field in the IPv4 packet header that contains a 32-bit binary value associated with an interface on the sending device?"|"source IPv4 address"
"Which term describes a field in the IPv4 packet header used to detect corruption in the IPv4 header?"|"header checksum"
"Refer to the exhibit. A network administrator is connecting a new host to the Payroll LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>RTR1(config)# interface gi0/1</br>RTR1(config-if)# description Connects to the Marketing LAN</br>RTR1(config-if)# ip address 10.27.15.17 255.255.255.0</br>RTR1(config-if)# no shutdown</br>RTR1(config-if)# interface gi0/0</br>RTR1(config-if)# description Connects to the Payroll LAN</br>RTR1(config-if)# ip address 10.27.14.148 255.255.255.0</br>RTR1(config-if)# no shutdown</br>RTR1(config-if)# interface s0/0/0</br>RTR1(config-if)# description Connects to the ISP</br>RTR1(config-if)# ip address 10.14.15.254 255.255.255.0</br>RTR1(config-if)# no shutdown</br>RTR1(config-if)# interface s0/0/1</br>RTR1(config-if)# description Connects to the Head Office WAN</br>RTR1(config-if)# ip address 203.0.113.39 255.255.255.0</br>RTR1(config-if)# no shutdown</br>RTR1(config-if)# end</prompt>"|"10.27.14.148"
"Which term describes a field in the IPv4 packet header that contains a unicast, multicast, or broadcast address?"|"destination IPv4 address"
"Which term describes a field in the IPv4 packet header used to limit the lifetime of a packet?"|"TTL"
"Which term describes a field in the IPv4 packet header that contains a 4-bit binary value set to 0100?"|"version"
"Which term describes a field in the IPv4 packet header used to identify the next level protocol?"|"protocol"
"Which term describes a field in the IPv4 packet header that contains a 4-bit binary value set to 0100?"|"version"
"What property of ARP causes cached IP-to-MAC mappings to remain in memory longer?"|"Entries in an ARP table are time-stamped and are purged after the timeout expires."
"What property of ARP allows MAC addresses of frequently used servers to be fixed in the ARP table?"|"A static IP-to-MAC address entry can be entered manually into an ARP table."
"What property of ARP allows MAC addresses of frequently used servers to be fixed in the ARP table?"|"A static IP-to-MAC address entry can be entered manually into an ARP table."
"What property of ARP allows hosts on a LAN to send traffic to remote networks?"|"Local hosts learn the MAC address of the default gateway."
"Refer to the exhibit. A network administrator is connecting a new host to the Registrar LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>Floor(config)# interface gi0/1</br>Floor(config-if)# description Connects to the Registrar LAN</br>Floor(config-if)# ip address 192.168.235.234 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface gi0/0</br>Floor(config-if)# description Connects to the Manager LAN</br>Floor(config-if)# ip address 192.168.234.114 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/0</br>Floor(config-if)# description Connects to the ISP</br>Floor(config-if)# ip address 10.234.235.254 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/1</br>Floor(config-if)# description Connects to the Head Office WAN</br>Floor(config-if)# ip address 203.0.113.3 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# end</prompt>"|"192.168.235.234"
"What property of ARP forces all Ethernet NICs to process an ARP request?"|"The destination MAC address FF-FF-FF-FF-FF-FF appears in the header of the Ethernet frame."
"What property of ARP causes a reply only to the source sending an ARP request?"|"The source MAC address appears in the header of the Ethernet frame."
"What property of ARP causes the request to be flooded out all ports of a switch except for the port receiving the ARP request?"|"The destination MAC address FF-FF-FF-FF-FF-FF appears in the header of the Ethernet frame."
"What property of ARP causes the NICs receiving an ARP request to pass the data portion of the Ethernet frame to the ARP process?"|"The type field 0x806 appears in the header of the Ethernet frame."
"What property of ARP causes the NICs receiving an ARP request to pass the data portion of the Ethernet frame to the ARP process?"|"The type field 0x806 appears in the header of the Ethernet frame."
"Refer to the exhibit. A network administrator is connecting a new host to the Service LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>Main(config)# interface gi0/1</br>Main(config-if)# description Connects to the Service LAN</br>Main(config-if)# ip address 172.29.157.156 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface gi0/0</br>Main(config-if)# description Connects to the Engineering LAN</br>Main(config-if)# ip address 172.29.156.36 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface s0/0/0</br>Main(config-if)# description Connects to the ISP</br>Main(config-if)# ip address 10.156.157.254 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface s0/0/1</br>Main(config-if)# description Connects to the Head Office WAN</br>Main(config-if)# ip address 198.51.100.177 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# end</prompt>"|"172.29.157.156"
"Refer to the exhibit. A network administrator is connecting a new host to the Medical LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>BldgA(config)# interface gi0/1</br>BldgA(config-if)# description Connects to the Medical LAN</br>BldgA(config-if)# ip address 192.168.191.189 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface gi0/0</br>BldgA(config-if)# description Connects to the Client LAN</br>BldgA(config-if)# ip address 192.168.190.70 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface s0/0/0</br>BldgA(config-if)# description Connects to the ISP</br>BldgA(config-if)# ip address 10.190.191.254 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface s0/0/1</br>BldgA(config-if)# description Connects to the Head Office WAN</br>BldgA(config-if)# ip address 198.51.100.213 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# end</prompt>"|"192.168.191.189"
"Refer to the exhibit. A network administrator is connecting a new host to the Registrar LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>Floor(config)# interface gi0/1</br>Floor(config-if)# description Connects to the Registrar LAN</br>Floor(config-if)# ip address 192.168.225.223 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface gi0/0</br>Floor(config-if)# description Connects to the Manager LAN</br>Floor(config-if)# ip address 192.168.224.103 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/0</br>Floor(config-if)# description Connects to the ISP</br>Floor(config-if)# ip address 10.224.225.254 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/1</br>Floor(config-if)# description Connects to the Head Office WAN</br>Floor(config-if)# ip address 203.0.113.246 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# end</prompt>"|"192.168.225.223"
"Refer to the exhibit. A network administrator is connecting a new host to the Manager LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>Floor(config)# interface gi0/1</br>Floor(config-if)# description Connects to the Registrar LAN</br>Floor(config-if)# ip address 10.118.63.65 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface gi0/0</br>Floor(config-if)# description Connects to the Manager LAN</br>Floor(config-if)# ip address 10.118.62.196 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/0</br>Floor(config-if)# description Connects to the ISP</br>Floor(config-if)# ip address 10.62.63.254 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# interface s0/0/1</br>Floor(config-if)# description Connects to the Head Office WAN</br>Floor(config-if)# ip address 209.165.200.87 255.255.255.0</br>Floor(config-if)# no shutdown</br>Floor(config-if)# end</prompt>"|"10.118.62.196"
"Refer to the exhibit. A network administrator is connecting a new host to the Store LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>HQ(config)# interface gi0/1</br>HQ(config-if)# description Connects to the Branch LAN</br>HQ(config-if)# ip address 172.19.99.99 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface gi0/0</br>HQ(config-if)# description Connects to the Store LAN</br>HQ(config-if)# ip address 172.19.98.230 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface s0/0/0</br>HQ(config-if)# description Connects to the ISP</br>HQ(config-if)# ip address 10.98.99.254 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface s0/0/1</br>HQ(config-if)# description Connects to the Head Office WAN</br>HQ(config-if)# ip address 209.165.200.120 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# end</prompt>"|"172.19.98.230"
"Refer to the exhibit. A network administrator is connecting a new host to the Store LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>HQ(config)# interface gi0/1</br>HQ(config-if)# description Connects to the Branch LAN</br>HQ(config-if)# ip address 172.20.133.132 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface gi0/0</br>HQ(config-if)# description Connects to the Store LAN</br>HQ(config-if)# ip address 172.20.132.13 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface s0/0/0</br>HQ(config-if)# description Connects to the ISP</br>HQ(config-if)# ip address 10.132.133.254 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# interface s0/0/1</br>HQ(config-if)# description Connects to the Head Office WAN</br>HQ(config-if)# ip address 198.51.100.156 255.255.255.0</br>HQ(config-if)# no shutdown</br>HQ(config-if)# end</prompt>"|"172.20.132.13"
"Refer to the exhibit. A network administrator is connecting a new host to the Service LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>Main(config)# interface gi0/1</br>Main(config-if)# description Connects to the Service LAN</br>Main(config-if)# ip address 192.168.167.166 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface gi0/0</br>Main(config-if)# description Connects to the Engineering LAN</br>Main(config-if)# ip address 192.168.166.46 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface s0/0/0</br>Main(config-if)# description Connects to the ISP</br>Main(config-if)# ip address 10.166.167.254 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# interface s0/0/1</br>Main(config-if)# description Connects to the Head Office WAN</br>Main(config-if)# ip address 198.51.100.189 255.255.255.0</br>Main(config-if)# no shutdown</br>Main(config-if)# end</prompt>"|"192.168.167.166"
